File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Aco\Selkie.Aco.Trails\TrailHistory.cs,163,131,65,14,32,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\TrailInformation.cs,71,61,36,4,10,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\UnknownTrailBuilder.cs,60,53,18,1,5,1,2,9,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\ICandidateListBuilder.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\IFixedTrailBuilder.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\IRandomTrailBuilder.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\IStandardTrailBuilder.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\ITrailAlternatives.cs,17,14,8,0,3,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\ITrailHistory.cs,21,17,9,0,4,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\ITrailInformation.cs,14,12,6,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces\IUnknownTrailBuilder.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Optimizers\ITwoOptSimple.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Optimizers\TwoOptSimple.cs,104,82,48,9,17,2,5,53,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\BaseTrailBuilderTests.cs,145,107,53,0,19,0,19,22,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\CandidateListTrailBuilderTests.cs,637,538,230,3,89,0,10,36,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\FixedTrailBuilderTests.cs,113,100,48,0,13,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\RandomTrailBuilderTests.cs,411,312,130,3,55,0,44,50,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\StandardTrailBuilderTests.cs,417,348,160,3,61,0,8,28,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\TrailAlternativesTests.cs,324,267,138,2,57,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\TrailHistoryTests.cs,283,229,123,0,54,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\TrailInformationTests.cs,67,58,30,0,9,0,0,0,0,0
